,Row,Column,Sample Type,Replicate #,*Target Name,*Sample Name,*Biological Set Name,*Well Note,Starting Quantity,Units
,A,1,Unkn,,WN.INNT.sK,1,,,N/A,copy number
,A,2,Unkn,,WN.INNT.sK,2,,,N/A,copy number
,A,3,Unkn,,WN.INNT.sK,3,,,N/A,copy number
,A,4,Unkn,,WN.INNT.sK,4,,,N/A,copy number
,A,5,Unkn,,WN.INNT.sK,5,,,N/A,copy number
,A,6,Unkn,,WN.INNT.sK,6,,,N/A,copy number
,A,7,Unkn,,WN.INNT.sK,7,,,N/A,copy number
,A,8,Unkn,,WN.INNT.sK,8,,,N/A,copy number
,A,9,Unkn,,WN.INNT.sK,9,,,N/A,copy number
,A,10,Unkn,,WN.INNT.sK,10,,,N/A,copy number
,A,11,NTC,,WN.INNT.sK,RSB,,,N/A,copy number
,A,12,Pos Ctrl,,WN.INNT.sK,NY-4,,,N/A,copy number
,D,1,Unkn,,WN.INNT.sK,01',,,N/A,copy number
,D,2,Unkn,,WN.INNT.sK,02',,,N/A,copy number
,D,3,Unkn,,WN.INNT.sK,03',,,N/A,copy number
,D,4,Unkn,,WN.INNT.sK,04',,,N/A,copy number
,D,5,Unkn,,WN.INNT.sK,05',,,N/A,copy number
,D,6,Unkn,,WN.INNT.sK,06',,,N/A,copy number
,D,7,Unkn,,WN.INNT.sK,07',,,N/A,copy number
,D,8,Unkn,,WN.INNT.sK,08',,,N/A,copy number
,D,9,Unkn,,WN.INNT.sK,09',,,N/A,copy number
,D,10,Unkn,,WN.INNT.sK,10',,,N/A,copy number
,D,11,NTC,,WN.INNT.sK,RSB,,,N/A,copy number
,D,12,Pos Ctrl,,WN.INNT.sK,NY-6,,,N/A,copy number
,G,7,Pos Ctrl,,WN.INNT.sK,NY-7,,,N/A,copy number
,G,8,Pos Ctrl,,WN.INNT.sK,NY-7,,,N/A,copy number
,G,9,Pos Ctrl,,WN.INNT.sK,NY-6/5,,,N/A,copy number
,G,10,Std,,WN.INNT.sK,sRNA   2,5,,,2,50E+00,copy number
,G,11,Std,,WN.INNT.sK,sRNA   10,,,1,00E+01,copy number
,G,12,Std,,WN.INNT.sK,sRNA  100,,,1,00E+02,copy number
,H,7,Pos Ctrl,,WN.INNT.sK,NY-2,,,N/A,copy number
,H,8,Pos Ctrl,,WN.INNT.sK,NY-3,,,N/A,copy number
,H,9,Pos Ctrl,,WN.INNT.sK,NY-5,,,N/A,copy number
,H,10,Std,,WN.INNT.sK,sRNA 1000,,,1,00E+03,copy number
,H,11,Std,,WN.INNT.sK,sRNA 10+4,,,1,00E+04,copy number
,H,12,Std,,WN.INNT.sK,sRNA 10+5,,,1,00E+05,copy number
